Player,Colour,Score,AI Version,Remaining Pieces
Red,1,14,v3,"I3,V3,O4,Z4"
Green,2,17,v5,"I3,I4,U,P"
Yellow,3,33,v3,"I4,I5,V3,O4,Z4,T4,L4,N"
Blue,4,23,v3,"I3,I4,V3,O4,L4,V5"
Red,1,27,v3,"I3,I4,V3,O4,Z4,T4,T"
Green,2,30,v5,"I3,I4,I5,O4,L4,U,P"
Red,1,20,v3,"I3,I4,O4,Z4,T"
Green,2,30,v5,"I3,I4,I5,O4,T4,U,P"
Red,1,27,v3,"I2,I3,I4,Z4,T4,X,T"
Green,2,31,v5,"I4,I5,O4,T4,L4,U,P"
Red,1,28,v3,"I3,I4,V3,O4,L4,X,T"
Green,2,30,v5,"I4,I5,V3,O4,T4,U,P"
Red,1,24,v3,"I3,I4,O4,Z4,L4,U"
Green,2,25,v5,"I3,I4,I5,O4,T4,P"
Red,1,23,v3,"I3,I4,V3,O4,Z4,Z5"
Green,2,24,v5,"I3,I4,I5,V3,O4,U"
Red,1,24,v3,"I3,I4,O4,T4,L4,Z5"
Green,2,29,v5,"I3,I4,I5,V3,O4,U,P"
Red,1,25,v3,"I3,I4,O4,T4,X,Z5"
Green,2,26,v5,"I3,I4,I5,O4,U,P"
Red,1,25,v3,"I4,V3,O4,Z4,U,X"
Green,2,23,v5,"I4,I5,O4,N,X"
Red,1,27,v3,"I3,I4,V3,O4,Z4,L4,X"
Green,2,26,v5,"I3,I4,I5,O4,P,X"
Red,1,18,v3,"I3,I4,V3,O4,Z4"
Green,2,27,v5,"I4,I5,O4,T4,U,P"
Red,1,23,v3,"I3,V3,O4,Z4,L4,U"
Green,2,30,v5,"I4,I5,V3,O4,T4,U,P"
Red,1,27,v3,"I3,I4,V3,O4,Z4,T4,X"
Green,2,26,v5,"I3,I4,I5,O4,U,P"
Red,1,21,v3,"O4,Z4,T4,L4,Z5"
Green,2,36,v5,"I3,I4,I5,O4,U,P,N,X"
Red,1,25,v3,"I4,V3,O4,L4,X,T"
Green,2,21,v5,"I3,I4,I5,O4,X"
Red,1,23,v3,"I3,I4,V3,O4,Z4,T"
Green,2,24,v5,"I3,I4,I5,V3,O4,N"
Red,1,25,v3,"I3,I4,O4,L4,U,Z5"
Green,2,30,v5,"I3,I4,I5,O4,L4,U,P"
Red,1,22,v3,"I4,O4,Z4,U,T"
Green,2,36,v5,"I5,V3,O4,Z4,U,P,N,X"
Red,1,17,v3,"I4,O4,Z4,Z5"
Green,2,32,v5,"I4,I5,O4,T4,U,P,X"
Red,1,26,v3,"I2,I3,I4,V3,O4,X,T"
Green,2,31,v5,"I3,I4,I5,T4,U,P,N"
